         1274180 function calls (1173500 primitive calls) in 264.162 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006  264.161  264.161 f:\UPC\暑期实践\2025\graph-of-thoughts\examples\keyword_counting\keyword_counting.py:1330(run)
        7    0.003    0.000  261.928   37.418 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\controller\controller.py:56(run)
      386    0.002    0.000  261.879    0.678 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\operations\operations.py:101(execute)
       68    0.000    0.000  261.658    3.848 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\language_models\chatgpt.py:87(query)
       68    0.001    0.000  261.655    3.848 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\base_events.py:618(run_until_complete)
       68    0.000    0.000  261.653    3.848 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\windows_events.py:317(run_forever)
       68    0.002    0.000  261.650    3.848 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\base_events.py:594(run_forever)
     1601    0.025    0.000  261.648    0.163 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\base_events.py:1859(_run_once)
     1601    0.003    0.000  260.807    0.163 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\windows_events.py:442(select)
     1601    0.020    0.000  260.803    0.163 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\windows_events.py:812(_poll)
     3475  260.764    0.075  260.764    0.075 {built-in method _overlapped.GetQueuedCompletionStatus}
       59    0.002    0.000  212.924    3.609 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\operations\operations.py:423(_execute)
       41    0.001    0.000   48.806    1.190 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\operations\operations.py:563(_execute)
        7    0.000    0.000    2.115    0.302 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\language_models\chatgpt.py:30(__init__)
        7    0.000    0.000    2.112    0.302 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\openai\_client.py:92(__init__)
